"product_id","product_release_id","product_name","roaster_id","product_created_at","release_created_at","roaster_tasting_notes_string","roaster_description"
21,300,Big Trouble,13,2017-09-23 00:21:37.337,2018-09-15 00:50:57.511,"Caramel, nutty, chocolate",
22,1243,Hologram,13,2017-09-23 00:31:38.884,2019-03-12 01:38:58.974,"Fruit, milk chocolate, syrupy",
22,3334,Hologram,13,2017-09-23 00:31:38.884,2019-11-17 01:14:35.958,"Fruit, milk chocolate, syrupy",
22,2813,Hologram,13,2017-09-23 00:31:38.884,2019-10-05 20:49:07.198,"Fruit, milk chocolate, syrupy",
22,303,Hologram,13,2017-09-23 00:31:38.884,2018-09-15 17:36:16.888,"Fruit, milk chocolate, syrupy",
22,2072,Hologram,13,2017-09-23 00:31:38.884,2019-07-30 00:11:13.480,"Fruit, milk chocolate, syrupy",
22,12,Hologram,13,2017-09-23 00:31:38.884,2017-12-29 02:58:37.713,"Fruit, milk chocolate, syrupy",Hologram is our update of the classic Mocha Java flavor profile. Fruit-forward and chocolatey coffees combine to create something distinctly complex
22,3500,Hologram,13,2017-09-23 00:31:38.884,2019-12-01 20:13:42.446,"Fruit, milk chocolate, syrupy",
23,302,Slow Motion,13,2017-09-23 00:36:38.535,2018-09-15 17:13:34.731,"Molasses, cocoa, smooth",
23,1244,Slow Motion,13,2017-09-23 00:36:38.535,2019-03-12 01:44:21.382,"Molasses, cocoa, smooth",
23,2814,Slow Motion,13,2017-09-23 00:36:38.535,2019-10-05 20:51:25.443,,
23,3503,Slow Motion,13,2017-09-23 00:36:38.535,2019-12-01 20:32:21.777,"Molasses, Cocoa, Smooth",
23,13,Slow Motion,13,2017-09-23 00:36:38.535,2017-12-29 02:58:37.713,"Molasses, cocoa, smooth","We pay extra attention to decaf because we know people love it solely for its flavor. For Slow Motion, we start with great coffee—from the same farmers we work with for all of our coffees—and decaffeinate it in small batches using chemical-free water processing."
24,31,Gigesa,28,2017-09-23 23:00:20.712,2017-12-29 02:58:37.713,"Cherry, blueberry, jasmine",N/A
25,14,Ethiope Harar,16,2017-09-24 14:13:18.085,2017-12-29 02:58:37.713,"Wild berries, chocolate noir",
26,15,Kirimara,17,2017-09-27 16:42:41.202,2017-12-29 02:58:37.713,"Clementine, jasmine, juicy",N/A
27,2774,Kossa Geshe,14,2017-09-28 20:19:09.692,2019-10-04 18:51:21.313,"This coffee tastes like wild strawberries, ripe raspberries and creamy milk chocolate.",
27,4741,Kossa Geshe,14,2017-09-28 20:19:09.692,2020-12-06 23:41:01.724,"The life of the party. In the cup, we taste strawberry, hibiscus, and watermelon.",
27,16,Kossa Geshe,14,2017-09-28 20:19:09.692,2017-12-29 02:58:37.713,"Blueberry, wild flowers, milk chocolate, chestnut","This organic coffee comes from a naturally occurring forest in the Jimma Zone of Ethiopia. It was grown by Abdul Wahid Sherif on his 1000 hectare farm, which was established in 2009 as a land grant from Ethiopia’s investment agency to protect some of the last remaining dense forest in the country."
28,17,Nyanja AB,14,2017-09-28 20:24:29.290,2017-12-29 02:58:37.713,"Marmalade, lime, strawberry, butterscotch",
29,18,Burundi Nemba,18,2017-09-28 20:32:54.679,2017-12-29 02:58:37.713,Tropical fruit and tangerine,Nemba is comprised of several high altitude micro planatations near the Congo-Nile Crest. The cup is balanced with tropical fruit flavours and a tangerine finish.
30,19,Kenya Mutungati,18,2017-09-28 20:37:20.458,2017-12-29 02:58:37.713,"Dark chocolate, blackberry, peach",Grown in what is considered to be the cradle of humanity - Kenya's Rift Valley - this coffee is carefully handpicked and processed near the town of Mairu Kumi by the Mutungati Farmers Cooperative Society. 
31,20,Sidama Guji,18,2017-09-28 22:04:48.892,2017-12-29 02:58:37.713,"Lemon zest, ginger, brown sugar","Guji is a village in the Sidamo region of Ethiopia, around which are grown some of the world's best coffees. This Guji in particular makes an incredibly bright, sweet and clean brew, with flavours of lemon zest, ginger, and brown sugar. One of our favourite origins, a coffee from Guji has made it into our lineup every year since Propeller Coffee's founding."
36,21,Anthem,17,2017-10-12 18:27:48.660,2017-12-29 02:58:37.713,"Apricot, Cranberry and Juicy",Coffee
36,384,Anthem,17,2017-10-12 18:27:48.660,2018-09-26 01:16:15.636,"Apricot, cranberry, juicy",
37,22,Grapos CO-OP,19,2017-10-12 23:57:10.174,2017-12-29 02:58:37.713,"Orange marmalade, nutty, ferrero rocher",N/A
38,23,Andrina,17,2017-10-13 14:29:45.762,2017-12-29 02:58:37.713,"Green Apple, Brown Sugar and Silky",Na
44,24,Patricio Jijon,3,2017-11-08 16:48:19.833,2017-12-29 02:58:37.713,,N/A
45,25,Adado,3,2017-11-10 02:53:12.387,2017-12-29 02:58:37.713,"Berrylike, raspberry, blueberry jam, citrus and heavy note of dark chocolate","The Gedeo zone, a subregion of Yirgacheffe,  who comprises about 7,000 farmers, is one of the best producing area of Ethiopia. The predominant flavour of this coffee are berrylike, raspberry, blueberry jam, citrus and heavy note of dark chocolat. It make a superb espresso with a heavy body, syrupy mouthfeel, sweet and well balanced.
"
46,26,Misuku Hills,3,2017-11-10 02:56:59.156,2017-12-29 02:58:37.713,,N/A
47,32,Kahuro AA+ Microlot,3,2017-11-10 03:07:23.067,2017-12-29 02:58:37.713,,"With four other washing stations (Ichamara, Thangathi, Mtwewathi and Kiuu), Kahuro washing station is part of the New Gikaru Cooperative Society in Nyeri County. In total, the society has 3800 members. The Kahuro mill was founded in 1971. Today, Kahuro gathers 1,120 active members working on 125 Ha of cultivated land. 

The roast profile for this coffee was developed to give the best result in manual pour-over brewing."
47,91,Kahuro AA+ Microlot,3,2017-11-10 03:07:23.067,2017-12-31 17:34:03.317,,"With four other washing stations (Ichamara, Thangathi, Mtwewathi and Kiuu), Kahuro washing station is part of the New Gikaru Cooperative Society in Nyeri County. In total, the society has 3800 members. The Kahuro mill was founded in 1971. Today, Kahuro gathers 1,120 active members working on 125 Ha of cultivated land. 

The roast profile for this coffee was developed to give the best result in manual pour-over brewing."
48,27,Santa Cecilia,3,2017-11-10 03:12:53.209,2017-12-29 02:58:37.713,,N/A
49,33,Las Lajas,3,2017-11-10 03:19:11.138,2017-12-29 02:58:37.713,,N/A
50,34,La Pastora,3,2017-11-10 03:21:45.184,2017-12-29 02:58:37.713,,N/A
51,35,San Pedro,3,2017-11-10 03:25:25.378,2017-12-29 02:58:37.713,,N/A
52,159,Bottle Neck,2,2017-11-10 03:33:20.711,2018-08-13 01:58:20.533,"Toffee, fig, balanced",
52,4125,Bottle Neck,2,2017-11-10 03:33:20.711,2020-01-24 19:44:44.385,"Toffee, fig, balanced",
52,4747,Bottle Neck,2,2017-11-10 03:33:20.711,2020-12-07 21:50:49.372,"Toffee, Fig, Balanced",
52,36,Bottle Neck,2,2017-11-10 03:33:20.711,2017-12-29 02:58:37.713,"Smooth, Rich, Balanced",
53,37,Punch Buggy Espresso,2,2017-11-10 03:40:03.274,2017-12-29 02:58:37.713,"Rich, Creamy (Chocolate) & Complex (Nuts & Subtle Fruit)",
53,282,Punch Buggy Espresso,2,2017-11-10 03:40:03.274,2018-09-09 16:35:18.621,"Chocolate, nut, subtle fruit",
53,4745,Punch Buggy Espresso,2,2017-11-10 03:40:03.274,2020-12-07 21:46:51.915,"Chocolate, Nut, Subtle Fruit",
53,4640,Punch Buggy Espresso,2,2017-11-10 03:40:03.274,2020-06-10 18:11:52.395,,
54,38,Los Olivos,17,2017-11-10 03:48:00.985,2017-12-29 02:58:37.713,"Praline, vanilla and creamy",N/A
55,39,Heritage,17,2017-11-10 03:54:33.967,2017-12-29 02:58:37.713,"Toffee, milk chocolate and creamy","Our diligent, tried-and-true espresso blend that’s been with us from the start. This steadfast blend is designed to produce a big-bodied shot packed with flavour and complexity that can hold its own when combined with milk.

While we rotate its component parts depending on the season, its defining feature is a fine balance of dark fruit, Swiss chocolate and nutty tones with medium acidity, tailor-made to stand the test of time. This is a Direct Trade coffee."
55,387,Heritage,17,2017-11-10 03:54:33.967,2018-09-26 01:38:43.113,"Toffee, milk chocolate, creamy",
56,4381,Monument,17,2017-11-10 04:04:04.677,2020-05-11 23:35:24.750,"Molasses, chocolate, full bodied",
56,40,Monument,17,2017-11-10 04:04:04.677,2017-12-29 02:58:37.713,"Molasses, chocolate and full body
","Our ode to the dark roast done right. This blend is a chance for our roasters to prove their agility as they take the roast to just before or right up to the second crack – a sweet spot that preserves all of the full-bodied smoothness and caramel tones of a dark roast before crossing into bitter, burnt territory.

The composition and roast level changes with the seasons (as with all of our blends), but the roast character will hold steady. For those who crave the weighty intensity of darker roasts, this one’s for you. This is a Direct Trade coffee."
56,386,Monument,17,2017-11-10 04:04:04.677,2018-09-26 01:36:22.896,"Molasses, chocolate, full-body",
59,41,Guji Uraga,21,2017-11-15 02:37:11.758,2017-12-29 02:58:37.713,"Chocolate covered ginger, berries, honey","We have the Ethiopian Guji Uraga dialled in and ready for you to enjoy.  This lot was hand-picked by zane on his last visit to Ethiopia.  It's always an incredible feeling to taste a coffee at origin, fall in love, then get to do it all over again.  Guji has an amazing chocolate-ginger note upfront with a distinct berry jam vibe in the finish.  Let's just say we have hearts in our eyes for this coffee."
60,42,San Pedro,21,2017-11-15 02:50:55.972,2017-12-29 02:58:37.713,"Brownies, baked pear, toffee",N/A
61,43,Santos Tuyuc,21,2017-11-15 02:59:45.670,2017-12-29 02:58:37.713,"Milk chocolate, white peach, honey",N/A
62,44,KENYA Fram Farm,23,2017-11-15 21:59:28.299,2017-12-29 02:58:37.713,,N/A
63,45,GUATEMALA DECAF Hacienda Real,23,2017-11-15 22:23:25.485,2017-12-29 02:58:37.713,"Chocolate, honeysuckle, mandarin",
64,903,Orlando Moreno,23,2017-11-15 22:31:44.752,2018-12-21 15:28:11.425,"Graham cracker, cherry, kiwi",
64,46,Orlando Moreno,23,2017-11-15 22:31:44.752,2017-12-29 02:58:37.713,"Ruby red, caramel, red grape","This is our sixth harvest season from Orlando and sons, and you can expect more of the same very crisp, clean and fruit forward coffee that he’s built his popularity on. Orlando leaves the cherry on the tree until it is very ripe;  a controlled ferment that accounts for the jammy fruit notes in the cup. However, his coffee is fully washed and partially dried in raised beds so the fruit is nicely countered with clear acidity."
65,55,Nicaragua La Esperanza,23,2017-11-15 22:35:03.977,2017-12-29 02:58:37.713,"Buckwheat honey, mandarin, milk chocolate",N/A
66,54,Guadalupe Miramar,23,2017-11-15 22:53:30.433,2017-12-29 02:58:37.713,"Orange, star fruit, vanilla waffle",N/A
66,537,Guadalupe Miramar,23,2017-11-15 22:53:30.433,2018-10-17 15:25:39.350,"Fudge, honeydew, pink peppercorn",
67,488,The Hathaway,23,2017-11-15 23:01:02.039,2018-10-10 13:56:41.893,"chocolate
caramel
nutty",
67,47,The Hathaway,23,2017-11-15 23:01:02.039,2017-12-29 02:58:37.713,"Amaretto, salted caramel, cacao",N/A
68,48,La Perla de Oaxaca,12,2017-11-16 23:38:43.373,2017-12-29 02:58:37.713,"Raisin, Candied Orange, Pear","This year’s La Perla delivers flavors of raisin, candied orange and pear. It is a tribute to the tenacity of Oaxaca’s smallholder farmers, who have faced down a coffee leaf rust epidemic and recommitted themselves to organic farming and coffee quality."
69,53,Ethiopia Celinga Station,19,2017-11-16 23:38:45.451,2017-12-29 02:58:37.713,"Strawberry, orange, vanilla and chocolate syrup",N/A
70,4055,Oscar & Luis Monge Red Honey,24,2017-11-16 23:49:18.703,2020-01-16 23:54:56.145,"Cherry, Clementine and Praline
",
70,1043,Oscar & Luis Monge Red Honey,24,2017-11-16 23:49:18.703,2019-01-23 13:33:29.420,"Marmelade, Dried fig and Caramelized pecans",
70,49,Oscar & Luis Monge Red Honey,24,2017-11-16 23:49:18.703,2017-12-29 02:58:37.713,"Guava, concord grape, sugared blackberries",
71,50,Tibed Yujra Anamuro,21,2017-11-17 01:29:25.348,2017-12-29 02:58:37.713,"Pomegranate, ""Mon Cheri"", Orange Blossom",N/A
72,51,Cannon Espresso,21,2017-11-17 01:36:42.355,2017-12-29 02:58:37.713,"Black cherry, almond, brown sugar",N/A
72,209,Cannon Espresso,21,2017-11-17 01:36:42.355,2018-08-28 15:32:59.052,"Black Cherry, Almond and Brown Sugar",
73,52,"Colombia, San Jose",21,2017-11-17 01:53:51.765,2017-12-29 02:58:37.713,"Almond, cola, raspberry",N/A
74,74,Ethiopia Guji Uraga Espresso,21,2017-11-17 02:12:01.233,2017-12-29 02:58:37.713,"Chocolate covered ginger, berries, honey","We have the Ethiopian Guji Uraga dialed in and ready for you to enjoy.  This lot was hand-picked by Zane on his last visit to Ethiopia.  It's always an incredible feeling to taste a coffee at origin, fall in love, then get to do it all over again.  Guji has an amazing chocolate-ginger note upfront with a distinct berry jam vibe in the finish.  Let's just say we have hearts in our eyes for this coffee. "
88,56,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2017-12-29 02:58:37.713,"Berry jam, peanut butter cup","The classic Cut Coffee espresso blend, Butter Knife is steady, sweet and easy to use. The perfect working blend for busy shops looking for a versatile espresso. 

Butter Knife is designed to perform as a rich, jammy, stand-alone espresso but also blends perfectly with milk to produce nutty, sweet, creamy drinks. 

Relying on crops from a group of interconnected Brazilian farms ensures Butter Knife is consistent and fresh all year round. 

"
88,1999,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2019-07-24 20:25:13.259,"peanut butter, berry jam + toffee",
88,241,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2018-09-03 23:06:34.054,"Peanut butter, chocolate, berry jam",
88,1328,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2019-04-01 15:48:17.089,"peanut butter, berry jam, toffee",
88,4422,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2020-05-14 01:00:43.869,"Peanut butter, berry jam and toffee",
88,3174,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2019-11-02 23:49:47.448,"Peanut butter, berry jam and toffee",
88,911,Espresso Butter Knife,19,2017-11-23 01:38:06.284,2018-12-21 16:13:08.715,"peanut butter, berry jam, toffee",
89,57,Espresso In Bloom,19,2017-11-23 18:41:05.815,2017-12-29 02:58:37.713,"Floral jasmine, plum, root beer","Highlighting the best of what's in season In Bloom is an ever-changing espresso blend focused on freshness and sweetness. 

More fruit-forward than the traditional Butter Knife espresso, In Bloom is an exciting, complex espresso on its own that rounds out with caramel sweetness in milk drinks. 

Currently, half of In Bloom comes from the Werka Station in Sidama. It is juicy and floral, mixing jasmine with a burst of melon. It is in conversation with Vista Al Bosque from Hoja Blanca. Wilmar Castillo has owned the farm for 18 years with his wife and son. It is a creamy and sweet cup that mixes vanilla with cooked plum and the satisfying depth of root beer. In Bloom remains a seasonally dynamic 50/50 blend that is always sweet, juicy and clean."
89,912,Espresso In Bloom,19,2017-11-23 18:41:05.815,2018-12-21 16:19:38.554,"Floral with persimmon, apricot, chocolate",
89,3175,Espresso In Bloom,19,2017-11-23 18:41:05.815,2019-11-02 23:54:43.837,"Candy apple, roasted marshmellow",
89,2000,Espresso In Bloom,19,2017-11-23 18:41:05.815,2019-07-24 20:36:48.431,"Vanilla, cotton candy, big turk",
89,4421,Espresso In Bloom,19,2017-11-23 18:41:05.815,2020-05-14 00:58:14.812,Fudge sundae with pralines and raspberries,
89,542,Espresso In Bloom,19,2017-11-23 18:41:05.815,2018-10-17 16:07:10.923,"Floral, cherry and chocolate cake",
89,1327,Espresso In Bloom,19,2017-11-23 18:41:05.815,2019-04-01 15:38:26.647,"vanilla, cotton candy, big turk",
90,58,Nelson Ramirez,19,2017-11-23 18:47:58.209,2017-12-29 02:58:37.713,"Black currant, hazelnut, apple pie","The second offering in our Honduras direct trade program originates from Nelson Ramirez. He is a third generation farmer who runs Finca Chely. It sits high in the mountains above Lake Yojao. Cool fog rises from the water creating lower temperatures and slowing cherry growth. After processing, Ramirez uses beneficio San Vincente in Pena Blanca for milling and transport. 

The extended maturation combines with Ramirez's expertise in an extraordinarily clean cup. It opens with a slight tropical and berry acidity, landing between mango and black currant. The cup is smooth and nutty, with creamy hazelnut and praline flavours. The finish is long with stewed fruit and just a hunt of spice - think of a slice of warm apple pie. "
91,59,Codech,19,2017-11-23 20:01:03.125,2017-12-29 02:58:37.713,"Black cherry, raspberry, almond joy","Entry number nine in our Women Producers series comes from Codech or the Coordinator of Organizations for the Development of Concepcion Huista. 

We last had Codech in 2015, but this offering specifically comes from women-owned or managed member farms. Through the premium, paid over the fair trade base, the program splits funding between health-initiatives and farming infrastructure. 

Few coffees can compete with a late harvest Guatemala. They are sweet, sticky, and heavy with chocolate. Codech opens with a sparkling burst of raspberry. It rounds out thick with heavy cream before going full chocolate. The finish is long with black cherry and candied almond notes. "
92,913,Decaf,19,2017-11-23 20:08:43.401,2018-12-21 16:21:56.440,"Lemon tart, maltesers",
92,60,Decaf,19,2017-11-23 20:08:43.401,2017-12-29 02:58:37.713,"Red apple, banana, chocolate brownie","We love well-processed and well-roasted decaf. This seasonal crop comes from selected farms in the Quindio Department. 

Freshly harvested beans are lightly steamed and then washed with ethyl acetate, which is derived from the natural fermentation of sugar cane and fruit. 

Decaf is the first roast of the day and because it can be very sensitive, we cycle the roaster to half of its typical energy levels. This ensures the delicate tropical fruit flavours of banana and the deep chocolate cake notes remain intact. 

Our motto : Long live decaf and death before dark roast. "
92,1578,Decaf,19,2017-11-23 20:08:43.401,2019-05-12 23:34:12.307,s'mores with baked pear,
93,72,Ethiopia Ayehu,25,2017-11-25 20:25:00.263,2017-12-29 02:58:37.713,"Blueberry, fruity, dark chocolate",N/A
94,71,Costa Rica Hacienda Sonora,25,2017-11-25 21:55:33.200,2017-12-29 02:58:37.713,"Grape jelly, Strawberries, sweet",
95,730,Holiday Blend,2,2017-11-25 22:00:56.386,2018-11-17 15:12:23.931,"Creme brulee, marmalade and ginger snap.",
95,4749,Holiday Blend,2,2017-11-25 22:00:56.386,2020-12-07 22:37:39.049,"Marzipan, Candied Orange, Ginger Snap",
95,3449,Holiday Blend,2,2017-11-25 22:00:56.386,2019-11-22 17:08:45.182,"Berry Compote, Candied Citrus, Nougat",
95,61,Holiday Blend,2,2017-11-25 22:00:56.386,2017-12-29 02:58:37.713,"Fig, walnut, cinnamon spice","Holiday Blend is back! This coffee is approachable and balanced but with depth, fruitiness and complexity.  In the cup it has a rich body with warming notes of fig, walnut, and cinnamon spice. Like the holiday season itself, this giftable, crowd-pleasing coffee only comes around once a year"
96,70,Embu Kenya,2,2017-11-25 22:05:25.293,2017-12-29 02:58:37.713,"Raspberry, kiwi, syrupy","Grown to the east of Mount Kenya, coffees from Embu County offer a unique profile from other Kenyan coffees.  Known for their heavy and velvety body, coffees from this region showcase darker fruits, browning sugars, and a rounder, more balanced acidity. "
97,69,Bear Hug Espresso,26,2017-11-30 23:44:54.168,2017-12-29 02:58:37.713,,Bear Hug Espresso is our answer to those who want a heavier and richer coffee without crossing over to the dark side. Our plump bear is a sweet beast who spends most days sauntering through the berry buffet line. Some days you just need a hug.
98,62,Rwanda Kanzu,26,2017-11-30 23:49:47.759,2017-12-29 02:58:37.713,"Sweet tomato, grape skin and blood orange",
99,63,Costa Rica Nereo Ramirez,26,2017-12-01 01:25:11.243,2017-12-29 02:58:37.713,"Fudgey, sweet cream and strawberry","Hardworking and resourceful, Nereo harvest all his own coffee with his family rather than hiring pickers and uses his own organic inputs from other areas of his farm as fertilizer. Grown at 1725 mail, Nereo's coffee is a fully washed Villa Sarchi varietal processed by his neighbours at Helsar de Zarcero. The micro mill works closely with about 40 such coffee farmers in the West Valley region of Costa Rica to process their coffees and create micro lots so they can forge relationships with buyers."
100,64,Honduras Las Quebraditas,27,2017-12-01 01:43:00.348,2017-12-29 02:58:37.713,Dark chocolate and chestnuts,N/A
101,67,South America Decaf,27,2017-12-01 01:44:48.315,2017-12-29 02:58:37.713,Buttery chestnuts,N/A
102,65,Colombia La Guamera,27,2017-12-01 02:30:17.105,2017-12-29 02:58:37.713,Earthy and chocolate,N/A
102,2116,Colombia La Guamera,27,2017-12-01 02:30:17.105,2019-08-05 18:26:36.668,Earthy and Chocolate ,
103,68,Guatemala Dos Pajaros,27,2017-12-01 02:34:57.578,2017-12-29 02:58:37.713,"Graham crackers, peanut butter and oranges","Spicy aroma; fruity and chocolaty at the same time, with a sweet orange zest aftertaste that you will remember for hours. Look for a black cherry in this cups development.

Very rich, full bodied and could be paired with almost anything or as a standalone."
104,66,Peru El Palto,27,2017-12-01 02:44:29.215,2017-12-29 02:58:37.713,"Nougat, toffee and red berries",N/A
105,75,Ethiopia Guji,27,2017-12-01 21:05:48.059,2017-12-29 02:58:37.713,"Dried apricots, black tea","This is a very exotic coffee, the tasting profile is unique and the coffee is very transferable between brew methods.

Jasmine flower aromatics; a very complex flavor profile that combines the flavors of stone fruits to that of creamy fruits. Excellent to try on Chemex and pour over, helps you to understand the tasting notes (Apricot) and migrate to espresso as the bean is aged. Look for a wine-like body."
106,76,Colombia De Isnos,21,2017-12-01 23:20:52.910,2017-12-29 02:58:37.713,"Orange zest, vanilla, chocolate",N/A
107,77,Nicaragua Las Colinas,21,2017-12-01 23:25:17.697,2017-12-29 02:58:37.713,Chocolate cake-cake-cake-cake-cake,N/A
108,78,Ethiopia Yirgacheffe Kochere,16,2017-12-01 23:33:37.266,2017-12-29 02:58:37.713,"Earl grey, blueberries, cocoa beans, orange zest and fig",
109,79,Brazil Santo Antonio,27,2017-12-02 00:10:47.708,2017-12-29 02:58:37.713,"Walnuts, chocolate and apricot","Roasted nuts aroma; very fragrant with a clean acidity throughout the cup, the more you indulge in this naturally processed bean, the more you'll start to notice a molasses flavor arise."
110,4141,Brewmance,16,2017-12-23 00:49:40.266,2020-03-06 16:46:04.043,CHOCOLATE + ALMOND+ CANDIED ORANGE,
110,80,Brewmance,16,2017-12-23 00:49:40.266,2017-12-29 02:58:37.713,"Almond paste, clementine, kahlua",
111,81,Ethiopia Eshete Station,19,2017-12-23 01:07:32.599,2017-12-29 02:58:37.713,"apricot, honeycomb, lemon cake","The Eshete station is located in the town of Sede, which is in the Yirgacheffe district of the Gedeo Zone. The station is owned and run by Alemayu Yirdaw, Gizaw Alemayu, and Wondosen Alemayu."
